Título,Descripción,Precio,Recámaras,Baños,Estacionamientos,Construidos m2,Terreno m2,Url
VENTA Casa - Pueblito Santiago Nuevo León,"Estrene casa ubicada en el Pueblito de Santiago, en Nuevo Leon


462 mts de Construcción

377 mts de Terreno



Planta Baja

Cochera para 3 autos con Bodega

Recibidor

Sala/comedor

Cocina abierta con alacena

Palapa con bodega

Jardín","$ 9,800,000",3.0,3.0,2.0,462.0,377.0,https://www.lamudi.com.mx/casa-en-venta-pueblito-santiago-nuevo-leon.html
Casas en Venta con Amenidades en Privada Cumbres Novo Norte,"Cumbres Novonorte es la primera comunidad planeada y sustentable en valle Conkal, zona al norte de Mérida, a solo unos minutos de Periférico y comercios como Altabrisa.

El desarrollo cuenta con 35 hectáreas, en las que se desarrollaran 9 privadas residenciales, cada una con caseta de vigilancia, control de acceso y amenidades.

7 modelos a escoger :","$ 2,250,000",2.0,1.0,2.0,100.0,225.0,https://www.lamudi.com.mx/casa-en-venta-en-merida-en-privada-cumbres-novo-norte-conkal.html
"Casa en Venta Villas del Bosque, Xonacatlan","Wiggot: pWkvTVT


Oportunidad, urge vender, excelente estado de conservación consta de dos niveles: PB un lugar de estacionamiento, medio baño, sala comedor, cocina, patio de servicio amplio. PA dos recamaras y un baño completo. Posiblidad de crecimiento a un piso mas","$ 950,000",2.0,1.0,1.0,65.0,72.0,https://www.lamudi.com.mx/casa-en-venta-villas-del-bosque-xonacatlan-2.html
Casa en Fraccionamiento Pirules,"Hermosa Casa reestrenala, Sala, Comedor, Coina Integral, alacena, area de lavado, estudio # recamaras, Baño Completo, cuidadita, Jardin frontal y trasero area de estacionamiento a pasos de periferico, calle muy tranquila.","$ 3,850,000",4.0,1.0,2.0,103.0,225.0,https://www.lamudi.com.mx/casa-en-fraccionamiento-pirules-167591061998.html
"casa nueva en venta en Merida, es de un piso, gran calidad- parques","Los Héroes Mérida es un lugar donde podrás descansar con tranquilidad después de llegar del trabajo, donde tus hijos puedan tener espacio para jugar y convivir. A menos de 20 minutos de Montes de Amé.

Vivir en los Héroes Mérida, es vivir en un lugar con amplias avenidas, caseta de vigilancia, hermosa áreas verdes y zonas deportivas equipadas.

Mod. Uxmal

-Terreno 8 x 20
-2 recamaras y un baño
-Sala y comedor separado.
-Cocina.
-1 baño

- Precios más escrituración, aceptamos todos los créditos disponibles. Contáctanos con tu NSS a la mano para poder validar tus datos, en caso de que sea crédito Infonavit. Aceptamos también Fovissste, créditos bancarios.

*** TODAS LAS CASAS INCLUYEN ***

-Protectores - Mosquiteros -Un Clima instalado -Calentador de Agua -Focos Ahorradores
-Tinaco de 450 lts -Cancel de Baño -Barra de Granito y Meseta -Pasillo de Servicio
-Estacionamiento propio -Área de Servicio","$ 1,090,000",2.0,1.0,,74.0,160.0,https://www.lamudi.com.mx/casa-nueva-en-venta-en-merida-es-de-un-piso-gran-c-166883807881.html
Casa en Venta en Mérida Dentro de Residencial,"El Complejo Residencial se encuentra ubicado dentro del desarrollo SOLUNA en Temozón Norte, en Mérida Yucatán. Una espectacular comunidad planeada de 69 hectáreas que integra extensas áreas verdes, amenidades de primer nivel, seguridad 24/7, zonas comerciales y espacios recreativos. A tan solo 2 minutos de la zona comercial de Cabo Norte y de Plaza la Isla, en donde la cercanía con los principales servicios lo convierte en la mejor oportunidad para vivir.

CARACTERISTICAS:
Superficie terreno: 284 m2
Construcción: 205
- Amplia sala con vista al jardín
- Estacionamiento techado
- Cocina integral completamente equipada
- 3 recamaras
* La principal con Walkin closet y baño completo
- Acabados de lujo

AMENIDADES: Gimnansio - áreas verdes - juegos infntiles - canchas de tennis

APARTA CON TAN SOLO $50,000 PESOS
Casa en entrega inmediata, lista para crédito bancario.

Mayores informes:
Celular y Whatsapp","$ 4,510,275",3.0,3.0,2.0,205.0,284.0,https://www.lamudi.com.mx/casa-en-venta-en-merida-dentro-de-residencial.html
"Casa con acabados Premium y Alberca. Zibatá, Queretaro.","Venta $3,470,000.-


Azhala 224 situada en la primer comunidad planeada Zibat, a la cual se le ha otorgado reconocimiento por cuarto año consecutivo como el mejor desarrollo residencial y comercial de Latinoamèrica.","$ 3,470,000",3.0,2.0,2.0,156.0,139.0,https://www.lamudi.com.mx/casa-con-acabados-premium-y-alberca-zibata-queretaro.html
CASA EN VENTA EN CONTRY,"Tres hermosas casas en venta en Contry


En planta baja cochera para 3 autos, puerta de servicio, Puerta principal, recibidor, Sala, Comedor, area de Bar, medio baño de visitas, lavanderia y area de jardin con su terraza.","$ 11,105,000",3.0,3.0,3.0,347.0,289.0,https://www.lamudi.com.mx/casa-en-venta-en-contry-165980381615.html
Ventura. Mérida Zona Sur – Almasur,"¡Tu corazón pertenece al Sur de Mérida!
Conoce un nuevo desarrollo, creado a tu medida.
Almasur nace de la necesidad de buscar casas dentro de la ciudad de Mérida con precios accesibles y diseños actuales para las necesidades del mercado inmobiliario.
Te ofrecemos espacios con un diseño moderno y diferente, casas con diversas configuraciones para que elijas la más práctica para tu familia y sus necesidades.","$ 938,000",2.0,1.0,2.0,71.0,160.0,https://www.lamudi.com.mx/ventura-m-rida-zona-sur-almasur-166939377593.html
Quinta en venta El barrial,"Pozo de agua
2 recamaras cada una con su baño, cocina equipada, alberca, jacuzzi, palapa con asador equipado y dos baños afuera, sistema de seguridad, completamente bardeada, porton electrico, minisplits y abanicos de techo","$ 11,000,000",2.0,4.0,5.0,251.0,1405.0,https://www.lamudi.com.mx/quinta-en-venta-el-barrial-167293981457.html
"CASA EN VENTA EN MERIDA - CONKAL PRIVADA BOTANICO MOD. 225, MAYO 2023.","PRIVADA RESIDENCIAL CON UN ENTORNO 100% NATURAL, EN LA MEJOR ZONA DE CRECIMIENTO RESIDENCIAL EN MÉRIDA, CONTARÁ CON 282 RESIDENCIAS DE LUJO CON ACABADOS MINIMALISTAS Y EN ARMONÍA CON LA BELLEZA NATURAL DEL ENTORNO.


Dividida en 9 clusters en etapas.

Cada cluster contará con un parque recreativo o deportivo que incluyen:

Parque recreativo:

Área de juegos infantiles.

Terraza de cardio gym.

Área de descanso o convivencia.

Área de terraza con asadores.

Verdes jardines para convivir.

Parque deportivo.

Cancha de paddel totalmente equipada.

Cancha de futbol con pasto sintético.","$ 3,250,000",4.0,3.0,3.0,225.0,308.0,https://www.lamudi.com.mx/casa-en-venta-en-merida-conkal-privada-botanico-mod-225-noviembre-22.html
"Venta de casa en El Toro, La Magdalena Contreras ID: v72787","[VEN] ID HOUM: 72787

En Houm te lo hacemos más fácil y seguro. Los beneficios de comprar con nosotros:
• Te ayudamos a conseguir financiamiento a través de una asesoría personalizada
• Mediación y seguimiento de todo el proceso
• Te ayudamos a conseguir la documentación para el estudio de títulos
¡Solo te preocupas de las firmas!

Casa en venta, ubicada en la colonia El Toro, con una superficie construida de 254 m² y superficie total de 254 m².

Sus principales características son:

• 3 recámaras
• 3 baños
• 1 medio baño
• Admite mascotas
• 2 estacionamientos
• Cocina equipada
• Año de construcción: 2000
• Cuarto de lavado

Además, el inmueble cuenta con las siguientes amenidades:

• Estacionamiento de visitas

Si compras con nosotros, te brindamos asesoría personalizada durante todo el proceso.
¡Comienza una nueva etapa con Houm! Compra fácil, rápido y seguro.","$ 5,990,000",3.0,3.0,2.0,254.0,254.0,https://www.lamudi.com.mx/venta-de-casa-en-el-toro-la-magdalena-contreras-id-v72787.html
"Exclusiva Privada Diade Temozón, 9 exclusivas residencias con diseño disruptivo.","El desarrollo está ubicado en la colonia

Temozón norte, la nueva zona residencial de

vanguardia al norte de Mérida, a pocos

metros del periférico, muy cerca de los

mejores centros comerciales, hospitales,

escuelas, restaurantes, espacios de

entretenimiento de la Ciudad, con todo lo

necesario para una gran calidad de vida.","$ 8,130,000",3.0,4.0,2.0,359.0,227.0,https://www.lamudi.com.mx/exclusiva-privada-diade-temozon-9-exclusivas-residencias-con-diseno-disruptivo.html
Oportunidad casa en venta en Diaz Ordaz,"En venta de oportunidad casa en la Colonia díaz ordaz, muy cerca de plaza fiesta y Sams Club, a una cuadra de la avenida correa racho.

Sala comedor cocina

3 habitaciones muy amplias

una sola planta, garage para 2 autos

papeles en regla y lista para escriturar.","$ 2,550,000",3.0,,2.0,,200.0,https://www.lamudi.com.mx/oportunidad-casa-en-venta-en-diaz-ordaz-167593914711.html
"Casa en pre venta al poniente de Mérida, con amenidades|Solana Tixcacal Nadir +","Privada Residencial al Poniente de la ciudad de Mérida, a solo 1 minuto del periférico, con casas de 2 y 3 recámaras que se adaptan al estilo de vida que buscas.
Dentro de una cerrada con amenidades exclusivas para nuestros residentes.

Te presento sus características y distribución:

MODELO - N A D I R   P L U S


- Sala y comedor corrido
- Cocina Integral con isleta
- Medio Baño
- Área de Lavado/Servicios (a lado de cocina)
- Media cochera techada


- 2 Recámaras con espacio para clóset
- 1 Baño completo, a compartir
- 1 Recámara Principal con baño completo, y espacio para clóset.


____________________________________________________

- Construcción: 121.44 m2

- Terreno: 160 m2
- Frente: 8 m
- Fondo: 20 m
____________________________________________________

Desde
$1,670,000 MXN - Normal
Referencia: Casa No. 428","$ 1,670,000",3.0,3.0,2.0,121.44,160.0,https://www.lamudi.com.mx/casa-en-venta-en-m-rida-en-privada-con-amenidades-166526956174.html
"Venta de casa de un piso en Baspul, 3 recámaras.","Venta o renta de casa de un piso de grandes espacios en Baspul, rodeada de naturaleza, ambiente silencioso, agradables espacios comunes, ideal para el disfrute de la familia y de las mascotas. Ven a conocer esta hermosa casa, muy bien iluminada y cómoda. Ideal si buscas gran espacio para tus perros.

Preciosa casa lista para usarse, tiene además paneles solares.","$ 6,750,000",3.0,3.0,4.0,272.0,809.0,https://www.lamudi.com.mx/venta-de-casa-de-un-piso-en-baspul-3-recamaras.html
Casa en Montebello con recámara en planta baja,"MONTEBELLO 315 se compone de 9 townhouses ubicados en Montebello, con medidas que van desde 136 a 168 m2.

Ubicado dentro de la primer etapa del complejo. Excelentes acabados y una distribución funcional son características esenciales desde el nacimiento del proyecto. Ya sea para mudarte a Mérida o sólo para estar de paseo Montebello te ofrece una gran cantidad opciones y servicios para cualquiera de tus necesidades.","$ 3,250,000",2.0,2.0,2.0,136.0,,https://www.lamudi.com.mx/montebello-315-townhouses-136m2.html
"Casa en Oaxtepec, Morelos","CASA EN CONDOMINIO EN OAXTEPEC
Preciosa casa en venta, muy bien equipada, consta de estancia, cocina equipada, cuarto de lavado, 3 recamaras cada una con baño, jardin y alberca comunal, 2 cajones de estacionamiento.","$ 3,398,000",3.0,3.0,2.0,90.0,140.0,https://www.lamudi.com.mx/casa-en-condominio-en-oaxtepec.html
CASA EN CONDOMINIO HORIZONTAL EN MORELOS.,"Fabulosa casa en el Condominio horizontal Los Laureles. 
Fraccionamiento de ambiente familiar y muy cordial en un conjunto de únicamente 8 casas de una edad de sólo10 años.
Consta de 2 niveles bien distribuídos, finos acabados y mucha iluminación natural por sus ventanales. Puertas de madera, ventanas de aluminio.","$ 3,450,000",3.0,2.0,1.0,200.0,228.0,https://www.lamudi.com.mx/casa-en-condominio-horizontal-en-morelos.html
Venta de casa nueva de autor en Lucepolis Milenio III en Querétaro.,"Venta de casa nueva de autor en Lucepolis Milenio III en Querétaro.
Fraccionamiento privado con control de acceso 24/7.
Amenidades: alberca techada, cancha de fut-bol y basket, asador.

P.B
Sala
Comedor
Cocina equipada con isla y cubierta de granito
Cochera para 2 autos
Baño de visitas
jardín


Recamara principal con amplio baño, doble lavabo y vestidor amplio
2 Recamaras secundarias
Baño completo","$ 4,000,000",3.0,3.0,2.0,180.0,120.0,https://www.lamudi.com.mx/venta-de-casa-nueva-de-autor-en-lucepolis-milenio-166700324750.html
"Casa en venta, en Zákia.","Residencial del nuevo Querétaro moderno, con amenidades para disfrutar en familia, en un lugar con tranquilidad y plusvalía inmejorable.

Con espacios para hacer fogatas, business center, alberca, grandes áreas verdes, canchas de úsos múltiples, juegos infantiles, un lago y áreas para disfrutar con tus mascotas.","$ 2,400,000",3.0,2.5,2.0,111.13,108.0,https://www.lamudi.com.mx/casa-en-venta-en-z-kia-166682796869.html
"Preciosa Casa en Ciudad Maderas, Roof Garden, 3 Habitaciones, Alberca, Luxury","Preciosa Casa en Ciudad Maderas, Estancias Amplias, de LUJO !! 3 Habitaciones, 2.5 Baños, Cocian Equipada, Sala, Comedor, Cochera para 2 Autos, Áreas de Servicio, Jardín, ROOF GARDEN - Seguridad 24.7, Alberca, GYM, Cancha de Tenis, Luxury y Premium.


Construcción:

- 108 m2 terreno

- 161.11 m2 construcción

- Cisterna 3,500

- Hidroneumático

- Bomba 1 caballo

- Gas Estacionario 300 L

- Cimentación tradicional mamposteo 85 a 90

- Ladrillo gris compacto

- Vigeta y bobedilla

- Remate Triangular","$ 2,550,000",3.0,2.0,2.0,161.0,108.0,https://www.lamudi.com.mx/preciosa-casa-en-ciudad-maderas-roof-garden-3-habitaciones-alberca-luxury.html
Casa Modelo Ankara en Privada San Nicolás,"Privada san nicolás se encuentra en la entrada a conkal yucatán, una población que ya se está convirtiendo en el área metropolitana de la ciudad de mérida.
la privada san nicolás se planeó para que cada una de las 20 casas con las que contará la privada tenga excelente ventilación natural, mucha luz y sobre todo mucha seguridad.
construida en dos niveles nuestro modelo ankara resalta por su excelente diseño moderno minimalista, con amplios espacios en sala y comedor los cuales tienen una bonita vista en todo momento al jardín y a la alberca, la cocina con mesetas de fino granito, una gran escalera con techo a doble altura y un gran ventanal con vista al cielo.
en planta alta tres recamaras, la principal con baño y vestidor y un agradable balcón con vista al parque central, y las secundarias con baño completo.
cuarto de servicio con baño propio.
terraza en el patio con jardín y alberca con sistema de filtro.","$ 3,000,000",3.0,4.0,4.0,270.0,300.0,https://www.lamudi.com.mx/casa-modelo-ankara-en-privada-san-nicolas-2.html
"dentro de la ciudad, 3 habitaciones- gran terreno excedente- entrega inmediata","Esta casa se encuentra a unos minutos del aeropuerto de la ciudad de Mérida, muy cerca de la avenida principal Aviación que conecta la ciudad con el periférico. Hay alrededor bancos, supermercados, tiendas comerciales, Sam's Club, gasolineras. Casa de construcción propia.
Generales: 3 HABITACIONES, una abajo y dos habitaciones arriba, amplios espacios, terreno excedente, clósets vestidos con madera","$ 1,600,000",3.0,2.0,,224.0,600.0,https://www.lamudi.com.mx/casa-en-venta-en-merida-cerca-del-aeropuerto-de-la-166883787599.html
CASA EN VENTA EN LOMAS DE COCOYOC OLC-0124 (CUATRO RECÁMARAS),"Disfruta esta agradable propiedad con el mejor clima en morelos.
Cuenta con alberca equipada con panel solar, closet de visitas, salón de juegos, sala de tv, closet blancos, jacuzzi en recamara principal, asador, baño completo para alberca.","$ 7,300,000",4.0,2.0,2.0,425.0,615.0,https://www.lamudi.com.mx/casa-en-venta-en-lomas-de-cocoyoc-olc-0124-cuatro-recamaras.html
EXCELENTE OPORTUNIDAD CASA ECONÓMICA," Casa funcional, 2 recámaras, 1 baño, cocina, tarja, patio servicio, cochera para 1 automóvil. Aprovecha tu crédito INFONAVIT, también créditos bancarios. NO FOVISSSTE.","$ 800,000",2.0,1.0,1.0,61.0,69.0,https://www.lamudi.com.mx/excelente-oportunidad-casa-econ-mica-167552106323.html
Casa VENTA VERACRUZ en la Riviera con Alberca Propia en Clúster con Seguridad,"Casa en VENTA  Prototipo MADRID  desde $2,200,000.
Excelente Oportunidad venta en lo Mejor de la Riviera Veracruzana.
     ""ES HORA DE EMPEZAR  A VIVIR  LA VIDA QUE HAS IMAGINADO""           Cerca Restaurantes,Hospitales,Escuelas, Playas,Principales Plazas
Comerciales.","$ 2,200,000",3.0,3.0,2.0,119.0,160.0,https://www.lamudi.com.mx/casa-en-preventa-en-la-riviera-con-alberca-propia-en-cluster-con-seguridad.html
"Casa en venta en el seminario, Emiliano Zapata.","Código: 6225376 - Casa en Loma Bonita, Emiliano Zapata, Morelos.


Casa en clúster de 60 casas, con un mantenimiento excelente en casas y zonas Comunes. Dentro del desarrollo ""El Seminario"". Ideal para disfrutar los fines de semana o vacaciones.


La casa cuenta:



3 Recamaras.
1 y 1/2 Baño.
Sala.
Comedor.
Cocina.
Patio de servicio.
Estacionamiento para 1 Auto.
70 m2 de Construccion.
47 m2 de Terreno.
Año de construccion 2007.


Amenidades del condominio:



Doble seguridad
Portón general de acceso al fraccionamiento y otro por cada clúster.
Alberca con caldera.
Costo del mantenimiento: 750$


Disfrute de esta hermosa casa, Agenda una cita pronto, Contactanos, Tenemos la casa que estas buscando.","$ 1,100,000",3.0,2.0,1.0,67.0,47.0,https://www.lamudi.com.mx/casa-en-venta-en-el-seminario-emiliano-zapata-167548753659.html
HERMOSA CASA DENTRO DEL FRACCIONAMIENTO REAL DE OAXTEPEC,"- Planta Alta:
* Área de TV/ opción a Recámara
* Cocina Equipada con Tarja y Parrilla/ Campana
* Barra Desayunadora p/ 6 Bancos
* Alacena muy amplia
* Cuarto de lavado y Sala
* Comedor
* ½ Baño para dar Servicio al Área Social
* Recámara Principal con acceso a Balcon.. con Baño Completo con Doble Labavo y doble Regadera.. con Doble Vestidor.
* Puertas de Carril con Vidrio Templado:
* Pisos Loseta Porcelanato
* Barras Loseta porcelanato.

- Planta Baja:
* Estancia
* Sala
* Comedor
* Cocina Equipada
* Barandal de Vidrio Templado
* 1 Habitación de ellas Oficina
* 1 Recámara de Servicio
* 3 Recámara con Baño Completo cada una; con Acceso a Terraza
* ½ Baño para dar Servicio área social
* 1 cuarto de Lavado con acceso a paso de servidumbre.
* Terraza:
* Alberca con Caída de Agua
* Jacuzzi
* Amplio jardín
* Área de Tarja/ Bar en Alberca.
* Amplia Terraza:
* Estacionamiento hasta 3 Autos Planta Baja
* Cuarto de Máquinas
* Área de Asador con Tarja y baño completo en área de la Alberca.
* Acceso a Roof Garden

INFORMES: SU CASA IDEAL

CLAVE: SCO-004

TEL.OFICINA: 735-153-66-65","$ 15,900,000",5.0,4.0,2.0,641.0,587.0,https://www.lamudi.com.mx/hermosa-casa-dentro-del-fraccionamiento-real-de-oa-165852077423.html
"En Venta Casa en Candiles, Gran Ubicación, 3 Recamaras, 2.5 Baños, Preciosa !!","OPORTUNIDAD !!, Se Vende Hermosa Casa en CANDILES, con GRAN UBICACIÓN !! Terreno 98 m2, Construcción 136 m2

Sala, Comedor, 2.5 Baños, 3 Habitaciones, Cochera, Áreas de Servicio.


Casa Company Querétaro

www.casacompanyqro.com

Contamos con más de 1,200 propiedades. EasyBroker ID: EB-LV9096","$ 2,050,000",3.0,2.0,2.0,137.0,99.0,https://www.lamudi.com.mx/en-venta-casa-en-candiles-gran-ubicaci-n-3-recamar-16670294391.html
"Hermosa Residencia en Zen Life, 4ta Recamra en PB, Equipada y de Super Lujo !!","Preciosa Residencia en Zen Life, Luxury y Premium, Estancias Amplias, Construcción 208 m2, Terreno 152 m2, 4ta Recamara en Planta Baja con Baño Completo, Cocina Equipada, Sala, COmedor, Bodega, Barra DEsayinadora, Sala

de TV Family con Amplia Terraza, Área de Lavado, Cochera para 2 Autos,. Habitación Ppal con Vestidor, Balcón y Baño Completo, 3 Baños Completos, de SUPER LUJO !!","$ 3,250,000",4.0,3.0,2.0,208.0,152.0,https://www.lamudi.com.mx/hermosa-residencia-en-zen-life-4ta-recamra-en-pb-equipada-y-de-super-lujo.html
"FRAC. BOTÁNICO, PRIVADA EN CONKAL, CASA DE UNA PLANTA, 3 RECÁMARAS,","Fraccionamiento botánico, privada residencial en conkal, residencia de una planta con 258 m2 de construcción, 3 recámaras, 3 closets vestidores, 4 baños completos, uno de visitas, sala comedor, cocina con gavetas y cubierta de granito, terraza techada, garage techado, piscina, cuarto de servicio con baño. Terreno 728. 69 m2 y 766. 57 m2. Precio de venta $ 4'451,000.00 y 4'546,000.00 respectivamente",Contactar agente para saber precio,3.0,4.5,2.0,258.0,836.0,https://www.lamudi.com.mx/frac-botanico-privada-en-conkal-casa-de-una-planta-3-recamaras.html
"Casa en Venta Paseos San Miguel, con alberca y Roof Garden opcional Desde","Desarrollo muy cerca de Antea con alberca y espacio para fiestas.


Descripción:","$ 1,550,000",3.0,2.0,2.0,93.0,108.0,https://www.lamudi.com.mx/casa-en-venta-paseos-san-miguel-con-alberca-y-roof-garden-opcional.html
ULTIMAS 7 CASAS en Zibatá a unos pasos de la Universidad Anáhuac Qro.,"Ubicación privilegiada dentro de Zibata, ultimas ubicaciones disponibles. Agenda tu cita ahora.


Terreno: 140 m2

Construcción: 189 m2","$ 4,390,000",3.0,2.0,2.0,189.0,140.0,https://www.lamudi.com.mx/ultimas-7-casas-en-zibata-a-unos-pasos-de-la-universidad-anahuac-qro.html
"Casa Jardines de Delicias, Cuernavaca","Casa en Fracc Jardines de Delicias, Cuernavaca 
T 344 mts
C 291 mts

Planta baja","$ 6,795,000",3.0,4.5,5.0,291.0,344.0,https://www.lamudi.com.mx/casa-en-fracc-con-vigilancia-jardines-de-delicias.html
Casa En Venta Providencia,"Casa En venta en Providencia, cerca de avenidas principales como Lopez Mateos, Av. Terranova, Manuel Acuña y Av. Mexico. 

Hopitales cerca, colegios, supermercados, resaurantes. Casa para remodelar o ideal para un proyecto . ","$ 6,950,000",34.0,3.0,2.0,272.0,240.0,https://www.lamudi.com.mx/casa-en-venta-providencia-9.html
"Casa con Terraza en Zibatá Desde $3,325,000","A tan sólo 3 minutos del acceso principal de Zibatá, la primera comunidad planeada dentro de Querétaro moderno, es la mejor combinación de vivienda, comercio, servicios y entretenimiento, rodeados de áreas verdes y espacios destinados a la convivencia, deporte y relajación de los habitantes. Cuenta con 175 hectáreas de áreas verdes, una ciclovía de 8 kilómetros que recorre todo el desarrollo, campo de golf y lagos.","$ 3,325,000",3.0,2.0,2.0,167.0,133.0,https://www.lamudi.com.mx/casa-con-terraza-en-zibat-desde-3-325-000-16593459018.html
Aceptamos Todos Los Créditos,"Venta de hermosa casa en privada residencial 
 ALTA PLUSVALÍA A CORTO PLAZO
  105,00 M2 de terreno
108,462 M2 de construcción","$ 1,297,000",3.0,3.0,1.0,109.0,105.0,https://www.lamudi.com.mx/aceptamos-todos-los-cr-ditos-166863769697.html
"IF2141 VENTA DE TOWNHOUSES EN TEMOZON, MERIDA YUCATAN","IF2141 TEMOZON NORTE

Mérida, Yucatán

Townhouses en venta

$3,790,000

Terreno: 127.5m2

Construcción: 237.42m2

Mantenimiento: Por definir

Entrega:primera etapa en primavera 2023- segunda etapa en enero 2024","$ 3,790,000",2.0,3.0,2.0,237.0,127.0,https://www.lamudi.com.mx/if2141-townhouse-en-temozon-yucatan.html
ESTRENE CASA NUEVA EN LA ZONA EXCLUSIVA DE JURIQUILLA,"ALTOS JURIQUILLA, en donde la presencia de la Naturaleza es una Prioridad, por ellos han destinado una gran zona de áreas verdes que aportan una sensación orgánica que se podrá vivir en sus múltiples rotondas y jardines. En ALTOS JURIQUILLA podrás disfrutar de amenidades que harán de habitarlo una experiencia única en calidad de vida.


La casa cuenta con 130m2 Construcción, 126m2 Terreno, 2 Niveles, Espacio para Sala, Comedor, Cocina Integral, Cuarto de Lavado, Terraza en Planta Baja y Amplio Jardín, 3 Recamaras, 2.5 baños, Recamara Principal con Vestidor y Recamaras Secundarias con Closet.","$ 2,843,000",3.0,2.0,2.0,130.0,126.0,https://www.lamudi.com.mx/estrene-casa-nueva-en-la-zona-exclusiva-de-juriquilla.html
CASA 4 RECAMARAS a un costado de Univ Cuauhtemoc,"Preciosa casa , iluminada y con acabados premium en todas las areas. 

LA CASA SE REMODELO RECIENTEMENTE y se cambiaron todos los acabados, desde piso hasta canceles de baño. ","$ 3,500,000",4.0,4.0,2.0,180.0,168.0,https://www.lamudi.com.mx/casa-4-recamaras-a-un-costado-de-univ-cuauhtemoc-167536452127.html
Casa en Zibatá con ROOF GARDEN y acabados Premium,"EXCELENTE CASA CON ROOF GARDEN


Terreno de 190m2

Construcción de 307m2","$ 5,801,000",4.0,4.0,2.0,307.0,190.0,https://www.lamudi.com.mx/casa-en-zibata-con-roof-garden-y-acabados-premium.html
CASA EN VENTA 3 RECAMARAS AQUA,"Terreno: 8 x 20
Construcción: 175m2
Años de construcción: 5 años
Área recreativa para niños
( casa club a unos pasos)","$ 4,300,000",3.0,2.5,1.0,175.0,160.0,https://www.lamudi.com.mx/casa-en-venta-3-recamaras-aqua-165973405378.html
¡OPORTUNIDAD! Casa frente al parque,"Oportunidad de adquirir una casa en la mejor ubicación del Fraccionamiento Jardines en la Montaña, frente al parque.


La casa cuenta con una excelente orientación, lo que le da mucha luz y agradable temperatura. Tiene un jardín frontal que comparte espacio con los estacionamientos (2+1)","$ 18,000,000",3.0,2.0,3.0,400.0,390.0,https://www.lamudi.com.mx/oportunidad-casa-frente-al-parque.html
Casa en venta en Residencial Punta Tiburón,"Una nueva casa en venta te espera en el fraccionamiento más lujoso y seguro que la Riviera Veracruzana tiene para ti: Residencial Punta Tiburón. ¡Vive la exclusividad al máximo en este magnífico residencial!


Distribución y características:","$ 3,850,000",3.0,3.0,2.0,194.0,180.0,https://www.lamudi.com.mx/casa-en-venta-en-residencial-punta-tibur-n-166095493170.html
Casa en Zibatá Molelo Agatha C1,"Terreno 132.557 m2

Construcción 188.601 m2


PLANTA BAJA: Sala, cocina, comedor, clóset, 1/2 baño, despensa y estacionamiento para 2 autos.","$ 4,200,000",3.0,2.0,2.0,188.0,132.0,https://www.lamudi.com.mx/casa-en-zibata-molelo-agatha.html
INVERSION EN LOMAS DE COCOYOC,"Hermosa Casa tipo mexicano en Lomas de CocoyoC.
Alberca, jacuzzi y chapoteadero con caldera.
5 Recamaras amplias con closet, la principal cuenta con vestidor y jacuzzi.
Área de lavado, estacionamiento techado para dos autos.","$ 5,800,000",5.0,4.0,4.0,260.0,495.57,https://www.lamudi.com.mx/inversion-en-lomas-de-cocoyoc-167353660087.html
NUEVA CASA EN VENTA EN FRACC PUERTA DE HIERRO DENTRO DEL COTO,"Nueva residencia en venta en Coto en Fraccionamiento Puerta De Hierro .

Casa cuenta con tres niveles .

Modernos acabados, pisos de mármol Santo Tomás, altura de techos de 3 m.

Sótano : cochera para 4 autos, cuarto de lavado, cuarto de servicio con baño completo, cuarto de juegos o salón con baño completo.

Planta baja : área de sala comedor, cocina integral con alacena ,amplia terraza con asador , jardín ( se puede integrar alberca ) , medio baño, recámara o estudio con baño completo.

Planta alta : distribuidor o Estar de TV , tres recámaras cada una con su baño y vestidor.

T. 405 m2

C.500 m2. EasyBroker ID: EB-ML5088","$ 28,490,000",4.0,6.0,4.0,500.0,405.0,https://www.lamudi.com.mx/nueva-casa-en-venta-en-fracc-puerta-de-hierro-dent-167472105550.html
Venta de Casa Nueva 3 Recamaras en Residencial Lucendi,"Casa nueva en Venta en Fraccionamiento Lucendi, San Diego Los Sauces, Cerca de Plaza San Diego y el Centro de Cholula


Terreno: 132 m2

Construcción : 190m2","$ 3,150,000",,,,190.0,132.0,https://www.lamudi.com.mx/venta-de-casa-nueva-3-recamaras-en-residencial-luc-167311719448.html
Increíble Casa Ecológica Estilo Europeo,"Oportunidad de comprar hermosa casa en uno de los mejores lugares para vivir en México a solo 15 minutos de Interlomas, 10 minutos de Bosque Real y camino al Pueblo de Huixquilucan, en donde encontrarás todo tipo de centros comerciales, restaurantes y actividad social.


En el interior de la casa descubrirás detalles que te harán sentir en armonía y podrás contemplar la variedad de plantas que ofrece el jardín, además de su linda palapa, encontrarás bodegas para guardar leña, material de jardinería. Además de contar con baños que facilitan estar en el jardín sin tener que ingresar a la casa.","$ 17,800,000",4.0,4.0,5.0,725.0,1876.0,https://www.lamudi.com.mx/increible-casa-ecologica-estilo-europeo-precio-negociable.html
"CASA EN VENTA DE REMATE, ECATEPEC.","VENTA DE REMATE

Hermosa Casa de:
· 58.97 m2 de construcción.
· 59 m2 de Terreno.","$ 707,400",3.0,2.0,2.0,58.97,59.0,https://www.lamudi.com.mx/casa-en-venta-de-remate-ecatepec-167589295499.html
